Name,Postcode,Latitude,Longitude
Growing-Beds Recycling Services Ltd,MK44 2SR,52.28369,-0.42454
Gwrtaith Gwynedd,LL53 6SJ,52.91464,-4.29609
Hills Minerals and Waste Limited,SN5 4HG,51.5972363,-1.8742836
HSF Recycling Ltd,ST7 3SU,53.13008,-2.2756599
Jack Moody Recycling,TF2 9PD,52.69893,-2.42495
Jack Moody Recycling,CV7 7LH,52.42737,-1.66472
James Heyes & Sons,WA11 7JE,53.48498,-2.80845
KPS Composting Services Ltd ,TN22 5JJ,50.9270507,0.0602088
Land Network (North East Lincolnshire) Ltd,LN11 0SA,53.37604,-0.05447
Material Change Composting Limited,IP6 8ND,52.1657989,1.0522903
Material Change Composting Limited,MK45 3QS,52.0542299,-0.43924
Lowick Manor Farms Ltd,NN14 3EN,52.42224,-0.53928
Material Change Composting Limited,MK45 4RF,51.96877,-0.43437
Material Change Composting Limited,NN13 5QD,52.0823396,-1.1626012
MEC Recycling,LN6 9HS,53.16068,-0.68391
Newbourne Farm Composting,SP6 3NT,50.96915,-1.84691
Newcastle City Council,NE15 9RU,54.98638,-1.7373
Olus Environmental Limited,BN5 9AB,50.9468618,-0.27858494
Material Change Composting Limited,PE6 0LX,52.69838,-0.13283
ORM North Norfolk Ltd,NR11 7BX,52.8335511,1.1297791
Phoenix Green Solutions,BS36 2NS,51.5367623,-2.4513333
Resource Recycling Solutions Ltd,PR3 6BP,53.89561,-2.89686
RJT & AR Ainsworth,ST21 6JU,52.8566999,-2.20694
Robert Holroyd- Far Shawcroft Farm,HX7 8TE,53.7664576,-1.994555
SED Services Ltd,WN4 0ES,53.50341,-2.6523
Severn Waste Services,WR10 2LW,52.1329829,-2.0452491
Sherwood Farms Ltd,NG12 2LT,52.93752,-1.0634999
Shorts Group Ltd,RG42 6LR,51.44086,-0.71575
Veolia UK Ltd,TF2 9PA,52.69507,-2.40237
Veolia UK Ltd,ST54EE,52.96203,-2.27339
Veolia UK Ltd,WV9 5AX,52.6562266,-2.1355677
